          it       t  truncado con cos sigmap(n) a(i)                     emegas(i)               emepla(i)/5.7d27          rplanet(i)                   amax                          amin                   emestar                   rc                        qest                     sigmag_0
         198   98001.000000000000        1.9632521328676984        0.0000000000000000        6.3348106827216769E-002   364809999.64110601        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         204   98601.000000000000       0.78438034782539690        0.0000000000000000        7.7855190157533699E-002   283283541.88382894        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         204   98601.000000000000        1.7998758439855851        0.0000000000000000        5.5224591866372692E-002   344814758.58963615        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         204   98601.000000000000        1.9632129672538710        0.0000000000000000        6.4113708402400715E-002   366271815.44001949        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         212   99401.000000000000       0.78431701385320585        0.0000000000000000        7.8285459985381264E-002   283804203.36932361        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         212   99401.000000000000        1.7998350526769151        0.0000000000000000        5.6224898216055808E-002   346881137.18524832        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         212   99401.000000000000        1.9631600134338620        0.0000000000000000        6.5142818655315848E-002   368218548.38394088        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         219   100101.00000000000       0.78426134339120879        0.0000000000000000        7.8655128382448508E-002   284250015.07441688        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         219   100101.00000000000        1.7997987566847347        0.0000000000000000        5.7108581348140279E-002   348686312.81894457        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         219   100101.00000000000        1.9631129860733911        0.0000000000000000        6.6051084298525867E-002   369919725.05529225        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
